17,13,2,1,2,,,,,,,,,,,,
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
W,P,,,,,,,W,,,,,,,,W
W,,B,B,,,,,B,E,,,,E,,,W
W,,B,W,,,,,,,,,,,,,W
W,,,,,,B,,,,B,,B,,B,,W
W,,,,W,W,,B,W,,,W,D,,,W,W
W,,B,,,E,,B,,,,,W,,,,W
W,,W,,,,,B,W,,,,B,,,,W
W,,W,,W,W,,,,,,W,B,,,W,W
W,W,B,,E,,B,,W,,B,,,,B,,W
W,,,,,,W,,B,,W,,,,W,,W
W,,,,,,,,W,,,,,,,,W
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,key:,,,,,,,,,,,,,,,
,level width,,,,,,,,,,,,,,,
,level height,,,,,,,,,,,,,,,
,background gfx,,,,,,,,,,,,,,,
,wall gfx,,,,,,,,,,,,,,,
,breakable gfx,,,,,,,,,,,,,,,
