17,13,1,3,2,1,,,,,,,,,,,
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
W,P,,,,,,,B,,,,E,,,,W
W,,W,B,W,B,W,B,W,B,W,B,W,B,W,,W
W,,,,,B,E,,,,E,B,,,,,W
W,B,W,,W,B,W,,W,,W,B,W,,W,B,W
W,,B,,,,,,,,,,,,B,,W
W,E,W,B,W,D,W,B,W,B,W,B,W,B,W,E,W
W,,B,,,,,,,,,,,E,B,,W
W,B,W,E,W,B,W,,W,,W,B,W,,W,B,W
W,,,,,B,,,,,,B,,,,,W
W,,W,B,W,B,W,B,W,B,W,B,W,B,W,,W
W,,B,,,,E,,B,,,,,E,B,,W
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,key:,,,,,,,,,,,,,,,
A,level width,,,,,,P,E,B,,,,,,,
B,level height,,,,,,D,W,,,,,,,,
C,background gfx,,,,,,,,,,,,,,,
D,wall gfx,,,,,,,,,,,,,,,
E,breakable gfx,,,,,,,,,,,,,,,
F,enemy gfx,,,,,,,,,,,,,,,
